"","country_code","name","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"114",795,"Turkmenistan",1210.998,1364.638,1603.254,1892.596,2195.165,2525.374,2876.809,3244.024,3683.978,4207.841,4516.128,4754.652,5087.211,5565.283,6031.187
"115",860,"Uzbekistan",6264.058,7277.336,8526.299,10116.87,12080.311,13857.469,15898.76,18061.283,20398.347,22791.033,24769.955,26427.785,28515.908,30929.556,33469.199
"116",5501,"Southern Asia",493338.552,538392.59,594746.439,662778.04,742225.23,833065.342,939270.827,1060289.499,1189861.406,1323030.438,1456569.462,1588623.891,1712555.446,1827847.299,1940369.605
"117",4,"Afghanistan",7752.117,8270.992,8996.967,9956.318,11173.654,12689.164,13356.5,11938.204,12412.311,18110.662,20779.957,25654.274,29185.511,34413.603,38928.341
"118",50,"Bangladesh",37894.671,42086.305,48013.505,55385.114,64232.486,70066.31,79639.498,90764.18,103171.957,115169.933,127657.862,139035.505,147575.433,156256.287,164689.383
"119",64,"Bhutan",176.796,197.458,223.284,253.993,297.307,348.395,406.883,464.264,530.801,534.629,591.014,648.744,685.502,727.885,771.612
"120",356,"India",376325.2,409880.606,450547.675,499123.328,555189.797,623102.9,698952.837,784360.012,873277.799,963922.586,1056575.548,1147609.924,1234281.163,1310152.392,1380004.385
"121",364,"Iran (Islamic Republic of)",17119.262,19294.136,21906.909,24954.865,28513.872,32729.772,38650.244,47347.197,56366.212,61442.658,65623.397,69762.345,73762.519,78492.208,83992.953
"122",462,"Maldives",73.716,79.704,89.873,102.71,115.688,136.418,158.271,189.54,223.159,254.144,279.396,319.604,365.73,454.914,540.542
"123",524,"Nepal",8483.322,9316.916,10105.06,10972.912,12074.628,13420.367,15016.408,16858.315,18905.48,21576.074,23941.099,25744.5,27013.207,27015.033,29136.808
"124",586,"Pakistan",37542.37,40488.032,44988.69,50917.975,58142.062,66816.875,78054.346,92191.505,107647.918,123776.835,142343.583,160304.007,179424.643,199426.953,220892.331
"125",144,"Sri Lanka",7971.098,8778.441,9874.476,11110.825,12485.736,13755.141,15035.84,16176.282,17325.769,18242.917,18777.606,19544.988,20261.738,20908.024,21413.25
"126",906,"Eastern Asia",677535.239,745568.562,805880.88,881787.777,999435.111,1112702.814,1198125.829,1283950.282,1393334.81,1464564.639,1519781.295,1564192.321,1604859.428,1645183.917,1678089.627
"127",156,"China",554419.269,612241.552,660408.054,724218.97,827601.385,926240.889,1000089.228,1075589.363,1176883.681,1240920.539,1290550.767,1330776.38,1368810.604,1406847.868,1439323.774
"128",344,"China, Hong Kong SAR",1974.002,2472.665,3046.048,3467.22,3848.922,4208.963,4868.744,5287.023,5727.942,6084.234,6606.328,6769.579,6966.324,7185.992,7496.988
"129",446,"China, Macao SAR",196.473,189.458,167.795,203.224,246.193,241.631,238.085,283.49,343.816,385.517,427.772,482.863,538.215,602.093,649.342
"130",158,"China, Taiwan Province of China",7602.355,9189.972,10876.147,12901.154,14924.462,16464.929,17905.459,19303.402,20478.516,21356.025,21966.528,22705.719,23187.556,23557.473,23816.775
"131",408,"Dem. People's Rep. of Korea",10549.47,10086.997,11424.189,12547.524,14410.391,16274.737,17472.144,18877.226,20293.057,21862.3,22929.078,23904.167,24548.84,25183.832,25778.815
"132",392,"Japan",82802.084,89018.255,93673.612,98447.007,104929.26,112413.362,117816.942,121883.483,124505.243,126365.486,127524.168,128326.115,128542.349,127985.139,126476.458
"133",496,"Mongolia",780.199,855.099,955.514,1107.121,1278.819,1479.646,1689.622,1921.889,2184.139,2298.017,2397.417,2526.429,2719.902,2998.433,3278.292
"134",410,"Republic of Korea",19211.387,21514.564,25329.521,28895.557,32195.679,35378.657,38045.605,40804.406,42918.416,45292.521,47379.237,48701.069,49545.638,50823.087,51269.183
"135",920,"South-Eastern Asia",165134.1,186641.854,214013.991,245994.253,281417.675,319410.873,357641.674,400747.753,444464.194,485655.311,525007.925,561156.081,596947.246,634305.699,668619.854
"136",96,"Brunei Darussalam",48.009,63.367,81.707,102.39,129.53,161.635,193.88,224.44,258.714,297.112,333.166,365.112,388.634,414.914,437.483
"137",116,"Cambodia",4432.724,5045.283,5722.372,6467.191,6996.576,7524.457,6693.759,7714.894,8975.597,10656.145,12155.241,13273.355,14312.205,15521.435,16718.971
"138",360,"Indonesia",69543.321,77273.427,87751.066,100267.07,114793.179,130680.73,147447.834,164982.452,181413.398,196934.257,211513.822,226289.468,241834.226,258383.257,273523.621
"139",418,"Lao People's Dem. Republic",1682.915,1890.85,2120.892,2382.586,2688.429,3051.583,3258.149,3687.889,4258.471,4846.477,5323.701,5751.675,6249.168,6741.16,7275.556
"140",458,"Malaysia",6109.902,7038.91,8156.342,9526.558,10804.131,12162.189,13798.094,15598.924,18029.824,20487.604,23194.252,25690.615,28208.028,30270.965,32365.998
"141",104,"Myanmar",17779.635,19550.067,21736.947,24259.356,27269.063,30611.093,34224.316,37977.087,41335.188,43901.598,46719.698,48949.931,50600.827,52680.724,54409.794
"142",608,"Philippines",18580.483,22177.06,26269.741,30909.997,35803.591,41285.741,47357.741,54275.836,61895.169,69784.087,77991.757,86326.251,93966.784,102113.206,109581.085
"143",702,"Singapore",1022.095,1305.103,1633.133,1877.826,2072.284,2259.721,2411.69,2705.537,3012.968,3525.964,4028.872,4265.693,5131.17,5592.143,5850.343
"144",764,"Thailand",20710.353,23711.122,27397.208,31822.656,36884.525,42326.307,47374.463,52026.901,56558.196,59467.272,62952.639,65416.189,67195.032,68714.519,69799.978
"145",626,"Timor-Leste",414.754,439.223,474.535,519.676,571.565,629.227,599.907,657.061,737.814,844.333,884.366,995.13,1093.517,1196.294,1318.442
"146",704,"Viet Nam",24809.909,28147.442,32670.048,37858.947,43404.802,48718.19,54281.841,60896.732,67988.855,74910.462,79910.411,83832.662,87967.655,92677.082,97338.583
"147",915,"Caribbean",17079.834,18747.715,20667.481,23009.852,25201.317,27513.667,29645.559,31775.147,34058.199,36162.184,38102.081,39745.797,41217.34,42622.28,43532.374
"148",28,"Antigua and Barbuda",45.515,49.648,54.132,58.699,64.184,62.671,61.861,61.785,62.533,68.672,76.007,81.462,88.03,93.571,97.928
"149",533,"Aruba",38.052,43.721,54.208,57.357,59.07,60.653,60.097,63.024,62.152,80.324,90.866,100.028,101.665,104.339,106.766
"150",44,"Bahamas",79.09,88.628,109.532,140.06,169.376,188.895,210.589,234.579,256.227,280.179,298.045,324.848,354.936,374.2,393.248
"151",52,"Barbados",210.99,227.132,230.985,235.415,238.895,246.158,252.388,256.26,260.933,265.955,271.511,276.32,282.131,285.327,287.371
"152",192,"Cuba",5919.989,6539.463,7141.241,7958.171,8712.535,9446.441,9849.457,10097.91,10596.986,10888.246,11126.423,11261.586,11225.833,11324.777,11326.616
"153",531,"Curacao",100.181,116.922,126.941,133.879,143.639,150.261,147.997,150.375,146.679,143.88,132.147,130.136,149.188,159.85,164.1
"154",214,"Dominican Republic",2364.649,2781.338,3294.222,3877.768,4499.722,5144.632,5803.929,6464.229,7133.491,7819.239,8471.317,9097.262,9695.117,10281.675,10847.904
"155",308,"Grenada",76.681,81.102,89.927,94.634,94.476,92.494,89.032,99.953,96.328,100.286,102.837,104.658,106.227,109.603,112.519
"156",312,"Guadeloupe",209.999,236.054,275.173,300.058,321.887,328.489,336.683,342.737,389.251,403.731,422.048,402.903,406.073,400.26,400.127
